#A,,,,,,#I,,,,,,,participant #A,F0,SP,AP,PV,participant #B,F0,SP,AP,PV,participant #C,F0,SP,AP,PV,participant #D,F0,SP,AP,PV,participant #E,F0,SP,AP,PV,participant #F,F0,SP,AP,PV,participant #G,F0,SP,AP,PV,participant #H,F0,SP,AP,PV,participant #I,F0,SP,AP,PV,participant #J,F0,SP,AP,PV,participant #K,F0,SP,AP,PV,participant #L,F0,SP,AP,PV,participant #M,F0,SP,AP,PV,participant #N,F0,SP,AP,PV,participant #O,F0,SP,AP,PV,participant #P,F0,SP,AP,PV
F0,f-2,f-1,f0,f1,f2,F0,f-2,f-1,f0,f1,f2,,#1,f-2,s-1,a0,1,#1,f0,s-2,a2,3,#1,f-1,s0,a-2,1,#1,f-1,s1,a0,3,#1,f1,s1,a2,1,#1,f2,s1,a-2,3,#1,f1,s-2,a1,1,#1,f0,s-2,a-2,3,#1,f0,s0,a-2,3,#1,f-1,s0,a1,1,#1,f-2,s1,a-2,3,#1,f-2,s0,a1,1,#1,f0,s2,a2,3,#1,f1,s1,a-1,1,#1,f0,s-2,a0,3,#1,f0,s-2,a-2,1
SP,s-2,s-1,s0,s1,s2,SP,s-2,s-1,s0,s1,s2,,#2,f0,s-2,a-2,1,#2,f-1,s-1,a0,3,#2,f0,s2,a-2,1,#2,f-1,s0,a0,3,#2,f0,s1,a1,1,#2,f2,s1,a-1,3,#2,f0,s-2,a0,1,#2,f1,s0,a-2,3,#2,f0,s-1,a0,3,#2,f0,s-1,a2,1,#2,f-2,s2,a0,3,#2,f0,s1,a2,1,#2,f1,s2,a1,3,#2,f0,s1,a-2,1,#2,f0,s-1,a0,3,#2,f0,s-2,a-1,1
AP,a-2,a-1,a0,a1,a2,AP,a-2,a-1,a0,a1,a2,,#3,f-2,s-1,a-1,1,#3,f-2,s-2,a2,3,#3,f-2,s2,a-1,1,#3,f0,s0,a2,3,#3,f0,s2,a1,1,#3,f1,s0,a-1,3,#3,f2,s-1,a0,1,#3,f1,s-1,a-1,3,#3,f-2,s-2,a-1,3,#3,f0,s-2,a0,1,#3,f-2,s2,a-2,3,#3,f-2,s0,a2,1,#3,f0,s0,a2,3,#3,f2,s0,a-2,1,#3,f0,s0,a0,3,#3,f1,s-2,a-1,1
PV,1PV,3PV,,,,PV,3PV,1PV,,,,,#4,f-2,s0,a0,1,#4,f-2,s-1,a2,3,#4,f-1,s1,a-1,1,#4,f0,s2,a1,3,#4,f2,s1,a0,1,#4,f0,s2,a-1,3,#4,f2,s-1,a1,1,#4,f0,s-1,a0,3,#4,f0,s-2,a-1,3,#4,f0,s-1,a1,1,#4,f0,s0,a0,3,#4,f-1,s2,a0,1,#4,f1,s0,a1,3,#4,f1,s0,a-1,1,#4,f2,s-2,a0,3,#4,f1,s0,a0,1
#B,,,,,,#J,,,,,,,#5,f-2,s-2,a-1,1,#5,f0,s-2,a1,3,#5,f-2,s0,a-1,1,#5,f0,s0,a0,3,#5,f0,s0,a0,1,#5,f0,s1,a-2,3,#5,f1,s-1,a0,1,#5,f0,s-2,a0,3,#5,f-1,s-1,a-2,3,#5,f-1,s-1,a0,1,#5,f-1,s1,a0,3,#5,f-1,s1,a0,1,#5,f0,s2,a1,3,#5,f0,s2,a-2,1,#5,f1,s0,a2,3,#5,f2,s0,a0,1
F0,f-2,f-1,f0,f1,f2,F0,f-2,f-1,f0,f1,f2,,#6,f-2,s0,a-2,1,#6,f0,s-1,a0,3,#6,f-2,s0,a-2,1,#6,f-2,s0,a2,3,#6,f0,s0,a1,1,#6,f1,s2,a-1,3,#6,f0,s-2,a2,1,#6,f2,s-1,a-2,3,#6,f0,s-2,a-2,3,#6,f-2,s-1,a1,1,#6,f-2,s2,a-1,3,#6,f-2,s2,a1,1,#6,f2,s1,a1,3,#6,f1,s2,a-2,1,#6,f1,s-2,a1,3,#6,f0,s0,a-2,1
SP,s-2,s-1,s0,s1,s2,SP,s-2,s-1,s0,s1,s2,,#7,f0,s-1,a0,1,#7,f0,s-1,a2,3,#7,f0,s0,a-1,1,#7,f0,s2,a2,3,#7,f0,s1,a0,1,#7,f1,s1,a-1,3,#7,f1,s-2,a2,1,#7,f1,s-2,a0,3,#7,f-1,s0,a-2,3,#7,f-1,s-1,a1,1,#7,f-1,s2,a-1,3,#7,f-2,s1,a0,1,#7,f0,s1,a1,3,#7,f0,s1,a0,1,#7,f1,s0,a1,3,#7,f1,s-1,a-2,1
AP,a-2,a-1,a0,a1,a2,AP,a-2,a-1,a0,a1,a2,,#8,f-1,s-2,a0,1,#8,f-2,s0,a1,3,#8,f-1,s0,a0,1,#8,f0,s1,a2,3,#8,f0,s1,a2,1,#8,f1,s1,a-2,3,#8,f2,s0,a1,1,#8,f1,s-1,a-2,3,#8,f-1,s-2,a0,3,#8,f-2,s-2,a0,1,#8,f0,s2,a0,3,#8,f-1,s0,a1,1,#8,f1,s2,a0,3,#8,f0,s2,a0,1,#8,f2,s0,a0,3,#8,f2,s-2,a0,1
PV,3PV,1PV,,,,PV,1PV,3PV,,,,,#9,f-2,s-2,a0,1,#9,f-1,s0,a2,3,#9,f-1,s1,a-2,1,#9,f-2,s2,a2,3,#9,f0,s2,a0,1,#9,f0,s0,a-1,3,#9,f2,s0,a2,1,#9,f2,s-2,a0,3,#9,f-2,s0,a0,3,#9,f-1,s-2,a0,1,#9,f-2,s1,a-1,3,#9,f0,s1,a0,1,#9,f2,s2,a1,3,#9,f0,s0,a-2,1,#9,f2,s-1,a0,3,#9,f2,s-1,a-2,1
#C,,,,,,#K,,,,,,,#10,f0,s0,a-2,1,#10,f-2,s0,a2,3,#10,f-2,s0,a0,1,#10,f-2,s0,a1,3,#10,f0,s0,a2,1,#10,f1,s2,a-2,3,#10,f0,s0,a1,1,#10,f2,s0,a-1,3,#10,f-2,s-2,a0,3,#10,f0,s0,a1,1,#10,f0,s1,a0,3,#10,f-2,s2,a0,1,#10,f2,s1,a2,3,#10,f2,s1,a-2,1,#10,f2,s-2,a2,3,#10,f0,s-2,a0,1
F0,f-2,f-1,f0,f1,f2,F0,f-2,f-1,f0,f1,f2,,#11,f0,s0,a0,1,#11,f-2,s-1,a0,3,#11,f-2,s1,a0,1,#11,f-2,s2,a0,3,#11,f2,s2,a0,1,#11,f2,s0,a-1,3,#11,f0,s-1,a1,1,#11,f1,s0,a-1,3,#11,f-1,s0,a0,3,#11,f-2,s0,a2,1,#11,f0,s2,a-2,3,#11,f0,s0,a1,1,#11,f2,s0,a2,3,#11,f2,s2,a-2,1,#11,f0,s-2,a2,3,#11,f2,s-1,a0,1
SP,s-2,s-1,s0,s1,s2,SP,s-2,s-1,s0,s1,s2,,#12,f-1,s-2,a-2,1,#12,f-2,s-2,a0,3,#12,f-1,s2,a0,1,#12,f0,s2,a0,3,#12,f1,s0,a1,1,#12,f0,s0,a-2,3,#12,f0,s-1,a2,1,#12,f2,s-1,a-1,3,#12,f-2,s-1,a0,3,#12,f-2,s-1,a0,1,#12,f-1,s0,a-2,3,#12,f-1,s2,a1,1,#12,f2,s2,a0,3,#12,f1,s2,a0,1,#12,f2,s0,a2,3,#12,f0,s-1,a0,1
AP,a-2,a-1,a0,a1,a2,AP,a-2,a-1,a0,a1,a2,,#13,f-1,s-1,a0,1,#13,f-1,s-2,a2,3,#13,f-1,s1,a0,1,#13,f-2,s2,a1,3,#13,f1,s2,a2,1,#13,f0,s2,a0,3,#13,f0,s0,a2,1,#13,f0,s0,a0,3,#13,f0,s-1,a-2,3,#13,f-1,s-1,a2,1,#13,f-1,s1,a-1,3,#13,f0,s2,a1,1,#13,f2,s0,a0,3,#13,f1,s1,a0,1,#13,f1,s0,a0,3,#13,f2,s-2,a-2,1
PV,1PV,3PV,,,,PV,3PV,1PV,,,,,#14,f0,s-2,a-1,1,#14,f0,s0,a2,3,#14,f0,s0,a-2,1,#14,f-1,s2,a2,3,#14,f1,s2,a1,1,#14,f2,s2,a-2,3,#14,f2,s-1,a2,1,#14,f1,s-1,a0,3,#14,f-1,s-1,a-1,3,#14,f0,s-1,a0,1,#14,f0,s0,a-2,3,#14,f-2,s1,a1,1,#14,f1,s1,a1,3,#14,f2,s1,a-1,1,#14,f1,s-1,a1,3,#14,f0,s0,a-1,1
#D,,,,,,#L,,,,,,,#15,f-2,s0,a-1,1,#15,f-1,s0,a1,3,#15,f0,s2,a0,1,#15,f-1,s1,a2,3,#15,f1,s2,a0,1,#15,f1,s2,a0,3,#15,f1,s-1,a2,1,#15,f2,s-2,a-1,3,#15,f-1,s-2,a-2,3,#15,f0,s-2,a1,1,#15,f-1,s2,a0,3,#15,f-2,s1,a2,1,#15,f2,s1,a0,3,#15,f2,s2,a-1,1,#15,f0,s0,a2,3,#15,f2,s-1,a-1,1
F0,f-2,f-1,f0,f1,f2,F0,f-2,f-1,f0,f1,f2,,#16,f-1,s0,a-1,1,#16,f-1,s-1,a1,3,#16,f-2,s1,a-1,1,#16,f0,s1,a1,3,#16,f2,s2,a2,1,#16,f0,s1,a0,3,#16,f2,s0,a0,1,#16,f0,s-2,a-1,3,#16,f-2,s0,a-2,3,#16,f-2,s-1,a2,1,#16,f-2,s0,a-1,3,#16,f0,s0,a2,1,#16,f1,s0,a2,3,#16,f0,s1,a-1,1,#16,f2,s-1,a2,3,#16,f0,s0,a0,1
SP,s-2,s-1,s0,s1,s2,SP,s-2,s-1,s0,s1,s2,,#17,f-1,s0,a-2,1,#17,f0,s-1,a1,3,#17,f-1,s2,a-1,1,#17,f-2,s1,a2,3,#17,f1,s1,a1,1,#17,f1,s0,a-2,3,#17,f1,s-1,a1,1,#17,f2,s-1,a0,3,#17,f-1,s-2,a-1,3,#17,f0,s-2,a2,1,#17,f-1,s2,a-2,3,#17,f-1,s1,a1,1,#17,f2,s0,a1,3,#17,f2,s0,a0,1,#17,f2,s-2,a1,3,#17,f0,s-1,a-2,1
AP,a-2,a-1,a0,a1,a2,AP,a-2,a-1,a0,a1,a2,,#18,f0,s0,a-1,1,#18,f-2,s-1,a2,3,#18,f0,s1,a-2,1,#18,f-1,s1,a1,3,#18,f2,s1,a1,1,#18,f1,s1,a0,3,#18,f1,s0,a1,1,#18,f0,s-1,a-2,3,#18,f0,s-2,a0,3,#18,f-2,s-2,a1,1,#18,f0,s1,a-2,3,#18,f0,s1,a1,1,#18,f0,s2,a0,3,#18,f0,s2,a-1,1,#18,f2,s-1,a1,3,#18,f1,s0,a-1,1
PV,3PV,1PV,,,,PV,1PV,3PV,,,,,#19,f-2,s-2,a-2,1,#19,f0,s-2,a0,3,#19,f-2,s1,a-2,1,#19,f-1,s2,a0,3,#19,f2,s1,a2,1,#19,f1,s0,a0,3,#19,f1,s0,a2,1,#19,f2,s0,a-2,3,#19,f0,s-1,a-1,3,#19,f-2,s0,a1,1,#19,f-2,s0,a0,3,#19,f-1,s2,a2,1,#19,f0,s1,a0,3,#19,f2,s2,a0,1,#19,f1,s-1,a2,3,#19,f1,s-1,a-1,1
#E,,,,,,#M,,,,,,,#20,f-2,s-1,a-2,1,#20,f-2,s0,a0,3,#20,f0,s1,a-1,1,#20,f-1,s2,a1,3,#20,f1,s1,a0,1,#20,f2,s2,a-1,3,#20,f2,s-2,a2,1,#20,f0,s-1,a-1,3,#20,f0,s0,a0,3,#20,f-2,s-2,a2,1,#20,f-2,s1,a0,3,#20,f-1,s0,a2,1,#20,f2,s2,a2,3,#20,f0,s0,a-1,1,#20,f1,s-2,a0,3,#20,f2,s0,a-2,1
F0,f-2,f-1,f0,f1,f2,F0,f-2,f-1,f0,f1,f2,,#21,f0,s-1,a-1,1,#21,f-1,s-2,a1,3,#21,f0,s2,a-1,1,#21,f0,s1,a0,3,#21,f0,s2,a2,1,#21,f2,s0,a0,3,#21,f0,s0,a0,1,#21,f1,s-2,a-2,3,#21,f-1,s-1,a0,3,#21,f-1,s-2,a2,1,#21,f-1,s0,a-1,3,#21,f0,s2,a2,1,#21,f1,s2,a2,3,#21,f0,s0,a0,1,#21,f0,s-1,a2,3,#21,f1,s0,a-2,1
SP,s-2,s-1,s0,s1,s2,SP,s-2,s-1,s0,s1,s2,,#22,f0,s-1,a-2,1,#22,f-1,s-2,a0,3,#22,f-1,s0,a-1,1,#22,f-2,s1,a1,3,#22,f2,s0,a0,1,#22,f0,s1,a-1,3,#22,f2,s-2,a0,1,#22,f2,s-2,a-2,3,#22,f0,s0,a-1,3,#22,f0,s0,a2,1,#22,f-2,s0,a-2,3,#22,f-1,s1,a2,1,#22,f0,s0,a1,3,#22,f1,s0,a0,1,#22,f2,s0,a1,3,#22,f1,s-2,a-2,1
AP,a-2,a-1,a0,a1,a2,AP,a-2,a-1,a0,a1,a2,,#23,f-1,s0,a0,1,#23,f-1,s0,a0,3,#23,f-2,s2,a-2,1,#23,f0,s0,a1,3,#23,f2,s0,a1,1,#23,f2,s1,a0,3,#23,f1,s0,a0,1,#23,f2,s0,a0,3,#23,f-2,s0,a-1,3,#23,f0,s0,a0,1,#23,f0,s0,a-1,3,#23,f-1,s0,a0,1,#23,f1,s1,a0,3,#23,f1,s1,a-2,1,#23,f1,s-2,a2,3,#23,f2,s0,a-1,1
PV,1PV,3PV,,,,PV,3PV,1PV,,,,,#24,f-1,s-1,a-1,1,#24,f0,s0,a0,3,#24,f-2,s2,a0,1,#24,f-2,s0,a0,3,#24,f2,s2,a1,1,#24,f2,s0,a-2,3,#24,f2,s-2,a1,1,#24,f1,s-2,a-1,3,#24,f-1,s0,a-1,3,#24,f-1,s-2,a1,1,#24,f-1,s1,a-2,3,#24,f-2,s0,a0,1,#24,f0,s0,a0,3,#24,f2,s0,a-1,1,#24,f0,s-2,a1,3,#24,f1,s-1,a0,1
#F,,,,,,#N,,,,,,,#25,f-1,s-2,a-1,1,#25,f-2,s-2,a1,3,#25,f0,s0,a0,1,#25,f-1,s0,a2,3,#25,f1,s0,a2,1,#25,f2,s2,a0,3,#25,f1,s-2,a0,1,#25,f0,s0,a-1,3,#25,f-2,s-1,a-2,3,#25,f-1,s0,a0,1,#25,f-1,s0,a0,3,#25,f0,s0,a0,1,#25,f1,s0,a0,3,#25,f1,s2,a-1,1,#25,f1,s-1,a0,3,#25,f1,s-2,a0,1
