#A,,,,,,#I,,,,,,,participant #A,F0,SP,AP,PV,participant #B,F0,SP,AP,PV,participant #C,F0,SP,AP,PV,participant #D,F0,SP,AP,PV,participant #E,F0,SP,AP,PV,participant #F,F0,SP,AP,PV,participant #G,F0,SP,AP,PV,participant #H,F0,SP,AP,PV,participant #I,F0,SP,AP,PV,participant #J,F0,SP,AP,PV,participant #K,F0,SP,AP,PV,participant #L,F0,SP,AP,PV,participant #M,F0,SP,AP,PV,participant #N,F0,SP,AP,PV,participant #O,F0,SP,AP,PV,participant #P,F0,SP,AP,PV
F0,f-2,f-1,f0,f1,f2,F0,f-2,f-1,f0,f1,f2,,#26,f-1,s-1,a-2,1,#26,f-2,s-1,a1,3,#26,f-1,s2,a-2,1,#26,f-1,s0,a1,3,#26,f1,s0,a0,1,#26,f0,s0,a0,3,#26,f0,s-2,a1,1,#26,f0,s0,a-2,3,#26,f-2,s-2,a-2,3,#26,f-1,s0,a2,1,#26,f0,s1,a-1,3,#26,f0,s2,a0,1,#26,f0,s1,a2,3,#26,f1,s0,a-2,1,#26,f0,s-1,a1,3,#26,f0,s-1,a-1,1
SP,s-2,s-1,s0,s1,s2,SP,s-2,s-1,s0,s1,s2,,#27,f0,s-2,a0,1,#27,f0,s0,a1,3,#27,f0,s1,a0,1,#27,f-2,s1,a0,3,#27,f2,s0,a2,1,#27,f0,s2,a-2,3,#27,f0,s-1,a0,1,#27,f1,s0,a0,3,#27,f-2,s-1,a-1,3,#27,f-2,s0,a0,1,#27,f0,s2,a-1,3,#27,f-2,s2,a2,1,#27,f1,s1,a2,3,#27,f2,s1,a0,1,#27,f0,s0,a1,3,#27,f2,s-2,a-1,1
AP,a-2,a-1,a0,a1,a2,AP,a-2,a-1,a0,a1,a2,,#28,f0,s-1,a-2,3,#28,f-1,s-2,a1,1,#28,f-2,s0,a0,3,#28,f-1,s2,a1,1,#28,f1,s2,a1,3,#28,f1,s1,a-2,1,#28,f2,s-1,a1,3,#28,f2,s-1,a-2,1,#28,f-1,s0,a0,1,#28,f-1,s-2,a1,3,#28,f0,s1,a-2,1,#28,f-1,s1,a1,3,#28,f2,s2,a1,1,#28,f2,s2,a0,3,#28,f1,s-1,a1,1,#28,f2,s0,a-2,3
PV,3PV,1PV,,,,PV,1PV,3PV,,,,,#29,f-1,s-2,a0,3,#29,f-2,s-2,a2,1,#29,f-1,s1,a-2,3,#29,f-2,s1,a1,1,#29,f1,s0,a2,3,#29,f1,s0,a0,1,#29,f0,s-2,a0,3,#29,f1,s-1,a-1,1,#29,f0,s-1,a-2,1,#29,f-1,s-1,a0,3,#29,f-2,s0,a-1,1,#29,f-2,s0,a2,3,#29,f1,s1,a2,1,#29,f1,s1,a-1,3,#29,f0,s0,a2,1,#29,f2,s0,a0,3
#G,,,,,,#O,,,,,,,#30,f0,s-2,a-2,3,#30,f0,s-2,a0,1,#30,f-1,s2,a-2,3,#30,f0,s2,a0,1,#30,f1,s2,a2,3,#30,f0,s0,a0,1,#30,f2,s0,a2,3,#30,f1,s-1,a0,1,#30,f-1,s-1,a0,1,#30,f0,s-2,a0,3,#30,f0,s1,a0,1,#30,f0,s2,a1,3,#30,f0,s2,a2,1,#30,f0,s1,a-1,3,#30,f0,s-1,a1,1,#30,f1,s-1,a0,3
F0,f-2,f-1,f0,f1,f2,F0,f-2,f-1,f0,f1,f2,,#31,f0,s-2,a0,3,#31,f0,s-1,a2,1,#31,f0,s0,a-1,3,#31,f-2,s0,a1,1,#31,f2,s0,a0,3,#31,f1,s2,a-1,1,#31,f2,s-2,a1,3,#31,f1,s-2,a-1,1,#31,f-2,s-1,a0,1,#31,f0,s-1,a2,3,#31,f0,s0,a-2,1,#31,f-2,s1,a2,3,#31,f1,s0,a2,1,#31,f1,s1,a0,3,#31,f1,s-2,a2,1,#31,f1,s-1,a-2,3
SP,s-2,s-1,s0,s1,s2,SP,s-2,s-1,s0,s1,s2,,#32,f-1,s-1,a-1,3,#32,f-2,s-1,a2,1,#32,f-1,s1,a0,3,#32,f-2,s1,a2,1,#32,f2,s2,a1,3,#32,f1,s1,a0,1,#32,f2,s0,a0,3,#32,f2,s-2,a-1,1,#32,f-2,s-1,a-2,1,#32,f0,s-2,a1,3,#32,f-1,s0,a-1,1,#32,f-1,s2,a0,3,#32,f2,s0,a0,1,#32,f0,s0,a-2,3,#32,f2,s-2,a2,1,#32,f2,s-1,a0,3
AP,a-2,a-1,a0,a1,a2,AP,a-2,a-1,a0,a1,a2,,#33,f0,s0,a-1,3,#33,f0,s-1,a0,1,#33,f-2,s1,a-2,3,#33,f-1,s1,a2,1,#33,f2,s0,a2,3,#33,f2,s0,a-1,1,#33,f2,s0,a1,3,#33,f0,s-1,a0,1,#33,f0,s-2,a0,1,#33,f0,s-2,a2,3,#33,f-2,s1,a0,1,#33,f0,s0,a2,3,#33,f1,s0,a0,1,#33,f1,s0,a-1,3,#33,f0,s-1,a2,1,#33,f0,s0,a-2,3
PV,1PV,3PV,,,,PV,3PV,1PV,,,,,#34,f0,s-1,a-1,3,#34,f-2,s0,a0,1,#34,f-2,s2,a-1,3,#34,f0,s1,a0,1,#34,f0,s1,a0,3,#34,f2,s1,a0,1,#34,f2,s-2,a2,3,#34,f0,s-2,a-2,1,#34,f0,s0,a-2,1,#34,f-1,s0,a0,3,#34,f0,s2,a-2,1,#34,f0,s2,a2,3,#34,f1,s2,a2,1,#34,f1,s0,a-2,3,#34,f1,s0,a2,1,#34,f1,s0,a0,3
#H,,,,,,#P,,,,,,,#35,f0,s0,a0,3,#35,f0,s-2,a2,1,#35,f-1,s0,a0,3,#35,f-1,s0,a0,1,#35,f1,s0,a1,3,#35,f1,s0,a-1,1,#35,f1,s0,a1,3,#35,f0,s0,a0,1,#35,f-1,s-2,a-1,1,#35,f0,s0,a2,3,#35,f0,s0,a0,1,#35,f-2,s1,a0,3,#35,f0,s0,a1,1,#35,f2,s0,a-2,3,#35,f0,s0,a1,1,#35,f2,s-1,a-1,3
F0,f-2,f-1,f0,f1,f2,F0,f-2,f-1,f0,f1,f2,,#36,f-2,s0,a-1,3,#36,f-1,s-1,a0,1,#36,f-2,s1,a-1,3,#36,f0,s2,a2,1,#36,f0,s1,a1,3,#36,f0,s2,a-1,1,#36,f0,s-2,a1,3,#36,f1,s-2,a0,1,#36,f-1,s0,a-1,1,#36,f0,s0,a0,3,#36,f-2,s1,a-2,1,#36,f-1,s2,a2,3,#36,f2,s2,a0,1,#36,f0,s2,a-2,3,#36,f0,s-2,a0,1,#36,f1,s0,a-1,3
SP,s-2,s-1,s0,s1,s2,SP,s-2,s-1,s0,s1,s2,,#37,f-1,s-1,a0,3,#37,f-1,s-2,a0,1,#37,f-1,s2,a0,3,#37,f-1,s1,a0,1,#37,f0,s0,a2,3,#37,f2,s2,a-1,1,#37,f0,s-1,a2,3,#37,f2,s-1,a-1,1,#37,f-2,s-2,a-2,1,#37,f-1,s0,a2,3,#37,f-1,s2,a-2,1,#37,f0,s0,a1,3,#37,f2,s0,a1,1,#37,f2,s1,a-2,3,#37,f2,s-2,a0,1,#37,f1,s-2,a-2,3
AP,a-2,a-1,a0,a1,a2,AP,a-2,a-1,a0,a1,a2,,#38,f0,s0,a-1,3,#38,f0,s-1,a1,1,#38,f-2,s1,a0,3,#38,f0,s0,a1,1,#38,f1,s1,a1,3,#38,f0,s0,a-1,1,#38,f1,s-1,a0,3,#38,f0,s0,a-2,1,#38,f-1,s-1,a-1,1,#38,f0,s-1,a1,3,#38,f-1,s1,a-1,1,#38,f-2,s1,a1,3,#38,f0,s2,a0,1,#38,f2,s2,a-1,3,#38,f0,s-2,a1,1,#38,f2,s-2,a0,3
PV,3PV,1PV,,,,PV,1PV,3PV,,,,,#39,f-2,s-1,a-1,3,#39,f0,s0,a1,1,#39,f0,s0,a-2,3,#39,f-2,s0,a0,1,#39,f2,s1,a0,3,#39,f0,s0,a-2,1,#39,f0,s-1,a1,3,#39,f1,s-2,a-2,1,#39,f-2,s-2,a-1,1,#39,f-1,s-2,a2,3,#39,f-1,s2,a0,1,#39,f-1,s0,a1,3,#39,f0,s1,a0,1,#39,f2,s1,a-1,3,#39,f2,s0,a0,1,#39,f1,s-2,a0,3
,,,,,,,,,,,,,#40,f0,s-2,a-1,3,#40,f-1,s-1,a1,1,#40,f-2,s2,a0,3,#40,f-1,s0,a2,1,#40,f0,s2,a0,3,#40,f2,s2,a-2,1,#40,f0,s0,a0,3,#40,f2,s0,a-2,1,#40,f-2,s0,a-1,1,#40,f-2,s-1,a2,3,#40,f-1,s0,a0,1,#40,f-2,s0,a1,3,#40,f2,s0,a2,1,#40,f0,s0,a-1,3,#40,f1,s-1,a0,1,#40,f1,s-2,a-1,3
,,,,,,,,,,,,,#41,f0,s0,a-2,3,#41,f-2,s-2,a1,1,#41,f-2,s2,a-2,3,#41,f0,s1,a2,1,#41,f0,s2,a2,3,#41,f1,s2,a0,1,#41,f1,s0,a0,3,#41,f0,s0,a-1,1,#41,f0,s0,a-1,1,#41,f-2,s0,a2,3,#41,f-2,s2,a0,1,#41,f0,s1,a2,3,#41,f0,s1,a2,1,#41,f1,s2,a-2,3,#41,f1,s-1,a2,1,#41,f2,s-2,a-1,3
,,,,,,,,,,,,,#42,f-1,s0,a0,3,#42,f0,s-2,a1,1,#42,f-2,s0,a-2,3,#42,f-2,s2,a2,1,#42,f2,s2,a2,3,#42,f0,s2,a-2,1,#42,f0,s-1,a0,3,#42,f2,s-2,a0,1,#42,f-1,s-2,a0,1,#42,f-2,s-2,a0,3,#42,f-1,s0,a-2,1,#42,f0,s0,a0,3,#42,f0,s1,a1,1,#42,f1,s2,a0,3,#42,f2,s0,a1,1,#42,f0,s-1,a0,3
,,,,,,,,,,,,,#43,f-1,s-2,a-1,3,#43,f-2,s0,a2,1,#43,f0,s1,a-2,3,#43,f0,s2,a1,1,#43,f1,s2,a0,3,#43,f2,s2,a0,1,#43,f1,s-2,a2,3,#43,f2,s0,a0,1,#43,f-2,s-1,a-1,1,#43,f0,s0,a1,3,#43,f-2,s0,a0,1,#43,f-1,s1,a2,3,#43,f1,s1,a1,1,#43,f2,s2,a-2,3,#43,f2,s-1,a0,1,#43,f0,s0,a0,3
,,,,,,,,,,,,,#44,f-2,s-1,a0,3,#44,f0,s0,a2,1,#44,f-2,s0,a-1,3,#44,f0,s1,a1,1,#44,f0,s0,a1,3,#44,f1,s2,a-2,1,#44,f1,s0,a2,3,#44,f2,s0,a-1,1,#44,f-2,s0,a0,1,#44,f-2,s-1,a1,3,#44,f-2,s1,a-1,1,#44,f-2,s2,a1,3,#44,f2,s2,a2,1,#44,f1,s1,a-2,3,#44,f2,s-2,a1,1,#44,f1,s-1,a-1,3
,,,,,,,,,,,,,#45,f-2,s0,a0,3,#45,f-1,s0,a2,1,#45,f0,s1,a0,3,#45,f-2,s2,a0,1,#45,f1,s0,a0,3,#45,f0,s1,a-1,1,#45,f1,s-2,a1,3,#45,f1,s-1,a-2,1,#45,f-1,s0,a-2,1,#45,f-1,s-1,a1,3,#45,f0,s2,a-1,1,#45,f-1,s1,a0,3,#45,f2,s1,a0,1,#45,f1,s0,a0,3,#45,f1,s-2,a1,1,#45,f0,s-2,a-2,3
,,,,,,,,,,,,,#46,f-2,s-2,a-1,3,#46,f-1,s-1,a2,1,#46,f0,s2,a-2,3,#46,f-1,s2,a2,1,#46,f1,s1,a2,3,#46,f2,s0,a0,1,#46,f0,s0,a1,3,#46,f0,s-2,a-1,1,#46,f-1,s-2,a-2,1,#46,f-2,s0,a1,3,#46,f-1,s1,a-2,1,#46,f-1,s0,a2,3,#46,f1,s0,a1,1,#46,f2,s0,a-1,3,#46,f2,s-1,a1,1,#46,f0,s-1,a-1,3
,,,,,,,,,,,,,#47,f-1,s-1,a0,3,#47,f-2,s0,a1,1,#47,f-1,s0,a-1,3,#47,f-2,s1,a0,1,#47,f2,s1,a1,3,#47,f0,s1,a-2,1,#47,f1,s-1,a1,3,#47,f0,s-1,a-2,1,#47,f0,s-2,a-1,1,#47,f-2,s-2,a2,3,#47,f0,s0,a-1,1,#47,f0,s2,a0,3,#47,f2,s1,a1,1,#47,f0,s0,a0,3,#47,f1,s-2,a0,1,#47,f1,s0,a-2,3
,,,,,,,,,,,,,#48,f-1,s0,a-2,3,#48,f0,s0,a0,1,#48,f0,s1,a-1,3,#48,f-2,s2,a1,1,#48,f2,s0,a1,3,#48,f0,s2,a0,1,#48,f1,s-1,a2,3,#48,f0,s-1,a-1,1,#48,f0,s0,a0,1,#48,f-2,s-2,a1,3,#48,f-2,s0,a-2,1,#48,f-1,s2,a1,3,#48,f1,s2,a1,1,#48,f2,s0,a0,3,#48,f2,s0,a2,1,#48,f0,s-1,a-2,3
,,,,,,,,,,,,,#49,f-1,s-1,a-2,3,#49,f-2,s-1,a1,1,#49,f-1,s1,a-1,3,#49,f-1,s0,a1,1,#49,f2,s1,a2,3,#49,f2,s1,a-1,1,#49,f1,s-2,a0,3,#49,f1,s0,a-2,1,#49,f-2,s0,a-2,1,#49,f-1,s-2,a0,3,#49,f0,s1,a-1,1,#49,f0,s1,a0,3,#49,f0,s0,a0,1,#49,f0,s1,a0,3,#49,f0,s0,a0,1,#49,f2,s0,a-1,3
,,,,,,,,,,,,,#50,f-2,s-2,a0,3,#50,f-1,s0,a0,1,#50,f0,s0,a0,3,#50,f-1,s2,a0,1,#50,f1,s1,a0,3,#50,f2,s0,a-2,1,#50,f0,s-2,a2,3,#50,f2,s-1,a0,1,#50,f-1,s-1,a-2,1,#50,f-2,s0,a0,3,#50,f-1,s1,a0,1,#50,f-2,s2,a0,3,#50,f2,s1,a2,1,#50,f0,s2,a0,3,#50,f1,s0,a0,1,#50,f0,s-2,a-1,3
,,,,,,,,,,,,,#51,f-2,s-2,a-2,3,#51,f-1,s-2,a2,1,#51,f0,s2,a-1,3,#51,f-1,s1,a1,1,#51,f2,s2,a0,3,#51,f1,s0,a-2,1,#51,f2,s-1,a2,3,#51,f0,s-2,a0,1,#51,f-2,s-2,a0,1,#51,f-1,s-1,a2,3,#51,f-2,s2,a-2,1,#51,f-1,s0,a0,3,#51,f1,s1,a0,1,#51,f2,s1,a0,3,#51,f1,s0,a1,1,#51,f2,s-1,a-2,3
,,,,,,,,,,,,,#52,f-2,s-1,a-2,3,#52,f-2,s-1,a0,1,#52,f-1,s0,a-2,3,#52,f-2,s0,a2,1,#52,f0,s2,a1,3,#52,f1,s1,a-1,1,#52,f2,s-2,a0,3,#52,f2,s-2,a-2,1,#52,f0,s-1,a0,1,#52,f0,s-1,a0,3,#52,f-2,s2,a-1,1,#52,f-2,s0,a0,3,#52,f0,s0,a2,1,#52,f0,s1,a-2,3,#52,f2,s-1,a2,1,#52,f2,s-2,a-2,3
,,,,,,,,,,,,,#53,f-2,s0,a-2,3,#53,f-2,s-2,a0,1,#53,f-1,s2,a-1,3,#53,f0,s0,a2,1,#53,f0,s0,a0,3,#53,f2,s1,a-2,1,#53,f2,s-1,a0,3,#53,f1,s0,a0,1,#53,f0,s-1,a-1,1,#53,f-1,s0,a1,3,#53,f-1,s2,a-1,1,#53,f-2,s2,a2,3,#53,f0,s2,a1,1,#53,f0,s2,a-1,3,#53,f0,s-2,a2,1,#53,f0,s0,a-1,3
,,,,,,,,,,,,,#54,f-1,s-2,a-2,3,#54,f-1,s0,a1,1,#54,f0,s2,a0,3,#54,f0,s0,a0,1,#54,f0,s1,a2,3,#54,f0,s1,a0,1,#54,f0,s0,a2,3,#54,f1,s0,a-1,1,#54,f0,s-2,a-2,1,#54,f-2,s-1,a0,3,#54,f0,s2,a0,1,#54,f0,s1,a1,3,#54,f1,s2,a0,1,#54,f1,s2,a-1,3,#54,f0,s-1,a0,1,#54,f0,s-2,a0,3